,sub,trial,inv,mult,ret
0,1,1,9,4,18
1,1,2,6,6,10
2,1,3,4,4,4
3,1,4,5,2,2
4,1,5,3,6,3
5,1,6,1,6,0
6,1,7,6,6,9
7,1,8,8,2,6
8,1,9,6,4,9
9,1,10,2,4,0
10,1,11,5,2,2
11,1,12,2,4,0
12,1,13,5,4,6
13,1,14,6,4,11
14,1,15,10,4,20
15,1,16,1,2,0
16,1,17,10,2,12
17,1,18,4,6,7
18,1,19,2,4,0
19,1,20,8,6,19
20,1,21,3,6,5
21,1,22,5,4,7
22,1,23,0,4,0
23,1,24,10,4,20
24,1,25,8,4,15
25,1,26,0,6,0
26,1,27,5,4,5
27,1,28,5,4,6
28,1,29,4,2,2
29,1,30,10,2,7
30,1,31,9,2,9
31,1,32,6,4,9
32,1,33,5,6,10
33,1,34,10,6,23
34,1,35,8,4,15
35,1,36,6,2,3
36,1,37,3,2,0
37,1,38,5,6,7
38,1,39,10,6,22
39,1,40,5,4,6
40,1,41,5,6,8
41,1,42,5,4,5
42,1,43,4,2,1
43,1,44,6,2,3
44,1,45,10,6,23
45,1,46,5,6,7
46,1,47,2,2,0
47,1,48,7,2,2
48,1,49,0,4,0
49,1,50,4,6,5
50,1,51,2,6,0
51,1,52,6,4,8
52,1,53,3,4,2
53,1,54,5,4,7
54,1,55,0,2,0
55,1,56,9,4,17
56,1,57,4,6,7
57,1,58,3,2,0
58,1,59,5,2,2
59,1,60,3,4,2
60,1,61,3,4,2
61,1,62,9,6,19
62,1,63,2,2,0
63,1,64,10,4,20
64,1,65,9,4,17
65,1,66,3,4,2
66,1,67,1,4,0
67,1,68,4,4,4
68,1,69,4,4,4
69,1,70,5,2,3
70,1,71,8,4,15
71,1,72,1,4,0
72,1,73,7,4,10
73,1,74,2,4,0
74,1,75,4,4,5
75,1,76,6,2,4
76,1,77,5,4,6
77,1,78,7,6,13
78,1,79,10,4,20
79,1,80,7,4,11
80,2,1,6,4,0
81,2,2,7,4,0
82,2,3,10,2,0
83,2,4,4,2,0
84,2,5,7,6,0
85,2,6,10,4,0
86,2,7,5,4,0
87,2,8,1,4,0
88,2,9,9,6,0
89,2,10,5,6,0
90,2,11,8,6,0
91,2,12,6,4,0
92,2,13,5,6,0
93,2,14,3,4,0
94,2,15,2,2,0
95,2,16,2,4,0
96,2,17,5,2,0
97,2,18,10,4,0
98,2,19,10,6,0
99,2,20,6,2,0
100,2,21,5,4,0
101,2,22,4,4,0
102,2,23,8,4,0
103,2,24,10,4,0
104,2,25,10,6,0
105,2,26,5,4,0
106,2,27,3,6,0
107,2,28,3,6,0
108,2,29,10,4,0
109,2,30,2,4,0
110,2,31,5,4,0
111,2,32,0,4,0
112,2,33,0,4,0
113,2,34,6,6,0
114,2,35,3,4,0
115,2,36,4,4,0
116,2,37,5,2,0
117,2,38,5,4,0
118,2,39,6,2,0
119,2,40,4,6,0
120,2,41,3,4,0
121,2,42,1,6,0
122,2,43,2,4,0
123,2,44,0,2,0
124,2,45,5,4,0
125,2,46,6,4,0
126,2,47,4,6,0
127,2,48,6,6,0
128,2,49,5,6,0
129,2,50,4,4,0
130,2,51,5,4,0
131,2,52,8,2,0
132,2,53,1,4,0
133,2,54,9,4,0
134,2,55,9,4,0
135,2,56,3,4,0
136,2,57,3,2,0
137,2,58,9,4,0
138,2,59,2,2,0
139,2,60,4,2,0
140,2,61,5,2,0
141,2,62,1,2,0
142,2,63,3,2,0
143,2,64,6,4,0
144,2,65,2,6,0
145,2,66,10,2,0
146,2,67,10,6,0
147,2,68,7,4,0
148,2,69,6,2,0
149,2,70,8,4,0
150,2,71,4,6,0
151,2,72,5,4,0
152,2,73,0,6,0
153,2,74,7,2,0
154,2,75,5,6,0
155,2,76,9,2,0
156,2,77,4,4,0
157,2,78,8,4,0
158,2,79,5,2,0
159,2,80,2,4,0
160,3,1,5,4,8
161,3,2,5,4,5
162,3,3,5,4,8
163,3,4,5,4,6
164,3,5,5,6,10
165,3,6,7,4,3
166,3,7,6,6,12
167,3,8,8,6,14
168,3,9,6,4,10
169,3,10,5,6,10
170,3,11,10,6,20
171,3,12,0,4,0
172,3,13,9,6,21
173,3,14,3,2,0
174,3,15,10,4,10
175,3,16,8,4,10
176,3,17,5,2,2
177,3,18,1,4,0
178,3,19,6,4,10
179,3,20,4,4,6
180,3,21,7,6,16
181,3,22,7,4,10
182,3,23,3,4,3
183,3,24,3,4,3
184,3,25,0,4,0
185,3,26,5,6,15
186,3,27,5,6,15
187,3,28,4,4,4
188,3,29,0,2,0
189,3,30,1,6,1
190,3,31,2,4,0
191,3,32,10,4,18
192,3,33,3,4,4
193,3,34,9,4,17
194,3,35,2,2,0
195,3,36,10,6,30
196,3,37,10,4,20
197,3,38,9,2,9
198,3,39,9,4,16
199,3,40,4,2,2
200,3,41,4,6,10
201,3,42,5,2,3
202,3,43,2,4,2
203,3,44,0,6,0
204,3,45,8,2,6
205,3,46,3,4,2
206,3,47,3,2,2
