sub,role,trial,unfairness,choice,choice_RT
1,self,1,50,0,3.5
1,self,2,80,0,5.792
1,self,3,95,0,5.581
1,self,4,60,0,1.913
1,self,5,75,0,2.293
1,self,6,90,0,2.008
1,self,7,75,0,2.159
1,self,8,60,0,2.055
1,self,9,95,0,2.256
1,self,10,70,0,2.192
1,self,11,85,0,1.875
1,self,12,65,0,2.078
1,self,13,85,0,1.894
1,self,14,55,0,1.865
1,self,15,90,0,1.899
1,self,16,70,0,3.419
1,self,17,80,0,1.777
1,self,18,50,0,2.184
1,self,19,65,0,2.063
1,self,20,55,0,4.275
2,self,1,60,0,3.132
2,self,2,55,0,1.899
2,self,3,85,1,2.299
2,self,4,95,1,2.427
2,self,5,65,0,2.718
2,self,6,55,0,2.91
2,self,7,80,1,1.816
2,self,8,50,0,2.076
2,self,9,90,1,1.59
2,self,10,90,0,1.351
2,self,11,75,0,1.95
2,self,12,95,1,5.01
2,self,13,85,1,1.866
2,self,14,70,0,1.841
2,self,15,60,0,2.653
2,self,16,65,0,2.881
2,self,17,70,0,1.619
2,self,18,75,1,2.267
2,self,19,50,0,2.097
2,self,20,80,0,1.983
3,self,1,90,0,3.101
3,self,2,70,0,3.582
3,self,3,55,0,3.421
3,self,4,70,0,2.738
3,self,5,55,0,2.58
3,self,6,50,0,2.374
3,self,7,75,0,2.371
3,self,8,60,0,2.402
3,self,9,65,0,2.177
3,self,10,90,0,2.231
3,self,11,80,0,2.135
3,self,12,50,0,4.072
3,self,13,60,0,2.121
3,self,14,85,0,1.862
3,self,15,65,0,1.753
3,self,16,95,0,2.365
3,self,17,85,0,4.172
3,self,18,75,0,2.027
3,self,19,80,0,3.006
3,self,20,95,0,1.935
4,self,1,50,0,6.406
4,self,2,60,0,2.29
4,self,3,50,0,2.203
4,self,4,95,1,1.731
4,self,5,90,0,1.416
4,self,6,65,1,2.829
4,self,7,70,0,1.583
4,self,8,55,0,2.34
4,self,9,95,1,1.656
4,self,10,90,1,1.602
4,self,11,80,1,3.018
4,self,12,85,1,1.936
4,self,13,85,1,1.307
4,self,14,60,0,2.086
4,self,15,75,1,2.083
4,self,16,80,1,1.844
4,self,17,75,1,1.574
4,self,18,55,0,1.991
4,self,19,65,0,1.684
4,self,20,70,0,1.483
5,self,1,85,0,8.013
5,self,2,80,0,6.957
5,self,3,60,0,19.816
5,self,4,55,0,8.008
5,self,5,70,0,3.071
5,self,6,95,1,3.741
5,self,7,90,1,3.742
5,self,8,70,0,2.919
5,self,9,90,1,3.104
5,self,10,80,0,2.246
5,self,11,85,1,3.019
5,self,12,75,0,2.217
5,self,13,60,0,2.406
5,self,14,65,0,2.267
5,self,15,95,1,2.215
5,self,16,65,0,1.86
5,self,17,50,0,3.134
5,self,18,75,0,1.664
5,self,19,50,0,2.339
5,self,20,55,0,2.793
6,self,1,55,0,5.091
6,self,2,60,0,2.669
6,self,3,90,1,5.457
6,self,4,65,0,3.827
6,self,5,85,1,4.723
6,self,6,50,0,4.211
6,self,7,95,1,2.642
6,self,8,50,0,3.214
6,self,9,80,1,3.214
6,self,10,60,0,4.157
6,self,11,70,0,3.344
6,self,12,80,1,6.921
6,self,13,70,0,2.84
6,self,14,55,0,3.165
6,self,15,90,1,3.334
6,self,16,85,1,3.357
6,self,17,65,0,2.758
6,self,18,75,0,2.67
6,self,19,95,1,4.332
6,self,20,75,0,2.451
7,self,1,70,0,5.302
7,self,2,95,1,3.623
7,self,3,55,0,3.2
7,self,4,90,0,4.89
7,self,5,60,0,3.012
7,self,6,80,0,2.93
7,self,7,75,0,3.134
7,self,8,95,1,2.967
7,self,9,55,0,3.018
7,self,10,80,0,2.984
7,self,11,90,0,4.925
7,self,12,50,0,2.616
7,self,13,50,0,2.687
7,self,14,85,0,3.248
7,self,15,65,0,3.17
7,self,16,60,0,2.82
7,self,17,75,0,2.547
7,self,18,70,0,2.835
7,self,19,85,0,2.921
7,self,20,65,0,2.788
8,self,1,50,0,7.447
8,self,2,55,0,4.048
8,self,3,95,0,16.129
8,self,4,90,0,3.35
8,self,5,80,0,4.056
8,self,6,85,0,3.956
8,self,7,65,0,3.003
8,self,8,75,0,3.596
8,self,9,80,0,3.193
8,self,10,50,0,3.643
8,self,11,55,0,22.012
8,self,12,60,0,2.825
8,self,13,65,0,3.887
8,self,14,60,0,3.115
8,self,15,70,0,4.068
8,self,16,95,0,4.387
8,self,17,85,0,2.974
8,self,18,75,0,2.767
8,self,19,70,0,3.542
8,self,20,90,0,3.613
9,self,1,90,1,8.392
9,self,2,80,1,6.39
9,self,3,55,0,5.964
9,self,4,60,0,5.501
9,self,5,55,0,5.043
9,self,6,65,0,5.345
9,self,7,95,1,5.27
9,self,8,95,1,5.136
9,self,9,70,0,5.023
9,self,10,75,0,4.59
9,self,11,75,0,4.21
9,self,12,50,0,5.345
9,self,13,70,0,3.49
9,self,14,85,1,4.021
9,self,15,65,0,3.682
9,self,16,50,0,4.032
