sub,investment,multiplier,returned,soe,fair,soc1,soc2
122,3,4,2,2,2,3,2
122,10,4,24,20,20,20,20
122,3,4,2,2,2,3,2
122,2,4,0,0,0,0,0
122,6,2,8,10,4,4,4
122,6,6,14,10,16,16,16
122,5,4,8,7,7,8,7
122,10,6,24,20,30,30,30
122,10,4,20,20,20,20,20
122,5,4,8,7,7,8,7
122,7,6,17,10,15,15,14
122,5,4,8,7,7,8,7
122,1,4,0,0,0,0,0
122,10,6,30,20,30,30,30
122,3,6,4,2,5,6,5
122,6,4,10,10,10,10,10
122,4,4,6,5,5,5,5
122,6,6,11,10,16,16,16
122,10,2,10,20,10,10,10
122,9,4,18,17,18,18,17
122,5,6,9,7,13,13,12
122,2,6,1,0,2,2,2
122,1,2,0,0,0,0,0
122,5,4,6,7,7,8,7
122,5,2,3,7,2,3,2
122,10,2,10,20,10,10,10
122,4,6,7,5,9,9,9
122,8,4,16,15,15,15,15
122,9,4,18,17,18,18,17
122,6,4,10,10,10,10,10
122,4,4,5,5,5,5,5
122,2,4,0,0,0,0,0
122,10,4,20,20,20,20,20
122,8,2,6,15,7,7,7
122,2,4,0,0,0,0,0
122,1,4,0,0,0,0,0
122,6,2,4,10,4,4,4
122,3,2,0,2,0,0,0
122,0,2,0,0,0,0,0
122,6,2,4,10,4,4,4
122,8,4,13,15,15,15,15
122,4,6,7,5,9,9,9
122,2,2,0,0,0,0,0
122,2,4,0,0,0,0,0
122,1,6,0,0,0,0,0
122,5,2,2,7,2,3,2
122,5,6,12,7,13,13,12
122,8,6,19,15,23,23,23
122,0,4,0,0,0,0,0
122,6,4,7,10,10,10,10
122,9,6,22,17,27,27,26
122,7,4,11,10,11,11,10
122,4,4,6,5,5,5,5
122,3,4,1,2,2,3,2
122,10,6,30,20,30,30,30
122,4,2,1,5,1,1,1
122,2,2,0,0,0,0,0
122,0,6,0,0,0,0,0
122,4,4,5,5,5,5,5
122,7,4,11,10,11,11,10
122,5,4,6,7,7,8,7
122,10,4,20,20,20,20,20
122,5,2,2,7,2,3,2
122,9,4,14,17,18,18,17
122,5,6,9,7,13,13,12
122,3,4,2,2,2,3,2
122,5,4,6,7,7,8,7
122,7,2,3,10,6,6,5
122,3,6,7,2,5,6,5
122,0,4,0,0,0,0,0
122,5,4,6,7,7,8,7
122,8,4,13,15,15,15,15
122,5,4,6,7,7,8,7
122,4,6,10,5,9,9,9
122,5,2,2,7,2,3,2
122,5,6,12,7,13,13,12
122,4,2,0,5,1,1,1
122,6,4,7,10,10,10,10
122,9,2,7,17,10,10,9
122,3,2,0,2,0,0,0
123,6,4,7,12,10,10,4
123,7,4,14,14,10,10,8
123,6,6,14,12,16,16,6
123,3,6,11,6,5,5,3
123,3,6,5,6,5,5,3
123,1,6,2,2,0,0,0
123,8,6,29,16,23,23,15
123,6,4,24,12,10,10,4
123,3,4,6,6,2,2,0
123,0,4,0,0,0,0,0
123,3,2,6,6,0,0,0
123,5,4,10,10,7,7,5
123,4,2,8,8,1,1,0
123,4,4,8,8,4,4,1
123,10,4,24,20,20,20,0
123,5,2,10,10,2,2,1
123,9,2,11,18,8,8,3
123,0,2,0,0,0,0,0
123,3,4,12,6,2,2,0
123,4,6,10,8,9,9,4
123,6,2,12,12,4,4,2
123,5,4,10,10,7,7,5
123,10,2,20,20,10,10,0
123,8,4,16,16,12,12,0
123,3,2,6,6,0,0,0
123,2,4,4,4,0,0,0
123,8,4,13,16,12,12,0
123,5,2,6,10,2,2,1
123,9,6,54,18,25,25,20
123,6,2,12,12,4,4,2
123,2,6,5,4,2,2,0
123,6,4,24,12,10,10,4
123,5,2,10,10,2,2,1
123,5,4,10,10,7,7,5
123,2,2,4,4,0,0,0
123,1,4,4,2,0,0,0
123,1,4,4,2,0,0,0
123,6,6,25,12,16,16,6
123,5,4,10,10,7,7,5
123,5,4,10,10,7,7,5
123,4,6,7,8,9,9,4
123,10,6,18,20,25,25,0
123,10,2,12,20,10,10,0
123,10,4,12,20,20,20,0
123,5,2,10,10,2,2,1
123,6,4,10,12,10,10,4
123,5,6,9,10,12,12,5
123,2,4,4,4,0,0,0
123,0,4,0,0,0,0,0
123,5,4,10,10,7,7,5
123,8,2,2,16,7,7,6
123,2,4,4,4,0,0,0
123,4,4,6,8,4,4,1
123,2,2,4,4,0,0,0
123,7,2,0,14,5,5,4
123,5,4,0,10,7,7,5
123,0,6,0,0,0,0,0
123,9,4,0,18,12,12,0
123,7,6,4,14,19,19,10
123,1,2,0,2,0,0,0
123,4,4,8,8,4,4,1
123,3,4,6,6,2,2,0
123,10,4,0,20,20,20,0
123,10,6,0,20,25,25,0
123,6,2,12,12,4,4,2
123,7,4,8,14,10,10,8
123,9,4,0,18,12,12,0
123,10,4,0,20,20,20,0
123,5,4,10,10,7,7,5
123,2,4,4,4,0,0,0
123,4,4,8,8,4,4,1
123,5,6,0,10,12,12,5
123,9,4,0,18,12,12,0
123,8,4,0,16,12,12,0
123,10,6,0,20,25,25,0
123,3,4,2,6,2,2,0
123,4,2,8,8,1,1,0
123,4,6,7,8,9,9,4
123,5,6,9,10,12,12,5
123,5,6,9,10,12,12,5
124,10,2,2,5,5,4,3
124,7,4,0,12,12,11,7
124,10,4,8,20,20,18,10
124,3,6,0,13,12,11,4
124,10,2,2,5,5,4,3
124,9,4,4,18,17,16,9
124,0,2,0,0,0,0,0
124,6,4,0,10,10,9,6
124,3,4,0,2,2,3,3
124,5,4,0,7,7,6,5
124,1,6,0,0,0,0,0
124,6,2,0,2,2,2,2
124,5,6,0,17,17,16,12
124,6,2,0,2,2,2,2
124,5,2,0,2,2,2,1
124,4,2,0,1,1,1,0
124,5,4,2,7,7,6,5
124,3,2,0,1,1,0,0
124,1,4,0,0,0,0,0
124,4,4,0,5,5,5,4
124,6,2,0,2,2,2,2
124,6,4,2,10,10,9,6
124,10,6,12,30,30,28,30
124,5,4,0,7,7,6,5
124,10,4,8,20,20,18,10
124,7,2,1,3,3,3,2
124,2,4,0,0,0,0,0
124,5,2,0,2,2,2,1
124,2,4,0,0,0,0,0
124,5,4,0,7,7,6,5
124,5,2,0,2,2,2,1
124,6,4,2,10,10,9,6
124,6,6,4,20,20,20,16
124,10,6,12,30,30,28,30
124,3,4,0,2,2,3,3
124,4,6,2,15,15,15,8
124,0,4,0,0,0,0,0
124,6,6,4,20,20,20,16
124,6,4,2,10,10,9,6
124,3,4,0,2,2,3,3
124,4,6,0,15,15,15,8
124,8,4,6,15,15,14,8
124,7,6,8,23,22,22,20
124,8,2,0,4,4,3,2
124,5,6,3,17,17,16,12
124,8,4,6,15,15,14,8
124,5,6,3,17,17,16,12
124,0,6,0,0,0,0,0
124,2,6,0,2,2,2,0
124,3,6,0,13,12,11,4
124,9,2,2,4,4,4,2
124,8,4,6,15,15,14,8
124,2,4,0,0,0,0,0
124,7,4,6,12,12,11,7
124,1,2,0,0,0,0,0
124,3,2,0,1,1,0,0
124,4,4,0,5,5,5,4
124,9,4,7,18,17,16,9
124,9,4,7,18,17,16,9
124,5,4,0,7,7,6,5
124,4,4,0,5,5,5,4
124,2,4,0,0,0,0,0
124,5,4,0,7,7,6,5
124,10,4,8,20,20,18,10
124,4,6,0,15,15,15,8
124,8,6,10,25,25,25,24
124,10,6,12,30,30,28,30
124,2,2,0,0,0,0,0
124,1,4,0,0,0,0,0
124,5,4,0,7,7,6,5
124,5,4,0,7,7,6,5
124,10,4,8,20,20,18,10
124,5,6,3,17,17,16,12
124,4,4,0,5,5,5,4
124,5,2,0,2,2,2,1
124,4,2,0,1,1,1,0
124,9,6,11,26,26,26,26
124,2,2,0,0,0,0,0
124,3,4,0,2,2,3,3
124,0,4,0,0,0,0,0
126,5,4,8,10,7,8,8
126,10,4,16,20,20,20,20
126,5,4,4,10,7,8,8
126,9,4,11,18,17,18,17
126,2,6,4,4,2,2,0
126,4,2,2,8,1,4,1
126,1,4,0,2,0,1,0
126,8,4,13,16,15,15,15
126,9,4,11,18,17,18,17
126,6,4,10,12,10,10,10
126,10,4,24,20,20,20,20
126,4,4,6,8,5,5,5
126,4,2,1,8,1,4,1
126,4,4,5,8,5,5,5
126,6,2,4,12,4,6,5
126,4,6,5,8,9,9,5
126,2,2,0,4,0,2,0
126,5,4,8,10,7,8,8
126,6,6,11,12,16,16,10
126,10,6,18,20,30,30,20
126,5,2,3,10,2,5,3
126,5,6,9,10,12,12,7
126,6,4,7,12,10,10,10
126,2,2,0,4,0,2,0
126,3,4,4,6,2,3,3
126,2,4,1,4,0,2,1
126,0,2,0,0,0,0,0
126,7,2,3,14,5,7,5
126,5,6,9,10,12,12,7
126,10,2,10,20,10,10,10
126,5,6,9,10,12,12,7
126,8,2,6,16,7,8,7
126,7,6,13,14,19,19,12
126,8,4,13,16,15,15,15
126,1,2,0,2,0,1,0
126,0,6,0,0,0,0,0
126,9,6,22,18,26,26,17
126,3,2,0,6,0,3,0
126,3,6,4,6,5,5,2
126,5,4,6,10,7,8,8
126,10,4,20,20,20,20,20
126,0,4,0,0,0,0,0
126,10,6,18,20,30,30,20
126,3,6,7,6,5,5,2
126,10,6,18,20,30,30,20
126,5,4,6,10,7,8,8
126,3,4,2,6,2,3,3
126,4,4,3,8,5,5,5
126,5,4,8,10,7,8,8
126,5,6,12,10,12,12,7
126,2,4,0,4,0,2,1
126,5,4,8,10,7,8,8
126,9,4,14,18,17,18,17
126,5,4,6,10,7,8,8
126,9,2,7,18,8,9,8
126,10,4,20,20,20,20,20
126,6,2,4,12,4,6,5
126,4,4,5,8,5,5,5
126,6,4,10,12,10,10,10
126,7,4,11,14,12,13,12
126,8,6,14,16,23,23,15
126,8,4,13,16,15,15,15
126,7,4,11,14,12,13,12
126,5,2,2,10,2,5,3
126,0,4,0,0,0,0,0
126,5,2,3,10,2,5,3
126,2,4,0,4,0,2,1
126,2,4,0,4,0,2,1
126,1,6,0,2,0,0,0
126,4,6,5,8,9,9,5
126,4,6,5,8,9,9,5
126,10,2,10,20,10,10,10
126,6,2,4,12,4,6,5
126,3,4,2,6,2,3,3
126,5,2,2,10,2,5,3
126,6,4,7,12,10,10,10
126,1,4,0,2,0,1,0
126,6,6,11,12,16,16,10
126,3,2,0,6,0,3,0
126,3,4,2,6,2,3,3
128,5,4,6,7,6,5,6
128,6,2,4,9,4,6,2
128,4,2,2,5,1,4,0
128,3,6,4,3,3,5,2
128,6,6,14,9,15,18,12
128,7,4,11,11,10,9,9
128,5,4,8,7,6,5,6
128,2,4,2,2,2,2,0
128,6,2,6,9,4,6,2
128,2,2,0,2,0,2,0
128,3,4,4,3,3,3,0
128,1,4,0,1,1,1,0
128,9,4,18,17,14,13,12
128,8,4,13,14,12,11,10
128,5,4,8,7,6,5,6
128,1,6,0,1,1,0,0
128,6,6,14,9,15,18,12
128,6,4,7,9,8,7,8
128,4,2,4,5,1,4,0
128,10,4,20,20,16,15,14
128,7,4,11,11,10,9,9
128,4,6,7,5,8,10,4
128,0,4,0,0,0,0,0
128,5,2,5,7,3,5,0
128,2,6,0,2,2,1,0
128,0,6,0,0,0,0,0
128,2,4,0,2,2,2,0
128,2,4,0,2,2,2,0
128,4,4,6,5,4,4,4
128,10,4,20,20,16,15,14
128,10,4,20,20,16,15,14
128,6,4,10,9,8,7,8
128,5,2,5,7,3,5,0
128,10,4,20,20,16,15,14
128,10,6,30,20,30,30,20
128,9,4,14,17,14,13,12
128,3,6,5,3,3,5,2
128,5,4,8,7,6,5,6
128,3,2,0,3,0,3,0
128,8,4,13,14,12,11,10
128,10,6,24,20,30,30,20
128,1,4,0,1,1,1,0
128,10,2,10,20,10,10,7
128,4,4,6,5,4,4,4
128,9,2,9,17,9,9,6
128,0,2,0,0,0,0,0
128,2,2,0,2,0,2,0
128,5,6,9,7,12,15,10
128,7,2,7,11,5,7,4
128,3,4,4,3,3,3,0
128,4,6,7,5,8,10,4
128,5,4,8,7,6,5,6
128,9,4,18,17,14,13,12
128,4,6,7,5,8,10,4
128,10,2,10,20,10,10,7
128,5,6,12,7,12,15,10
128,2,4,0,2,2,2,0
128,8,4,16,14,12,11,10
128,6,4,10,9,8,7,8
128,5,6,9,7,12,15,10
128,6,2,6,9,4,6,2
128,3,2,0,3,0,3,0
128,4,4,6,5,4,4,4
128,8,2,8,14,6,8,5
128,5,4,8,7,6,5,6
128,0,4,0,0,0,0,0
128,5,2,5,7,3,5,0
128,5,6,12,7,12,15,10
128,7,6,17,11,18,21,14
128,5,4,8,7,6,5,6
128,8,6,19,14,22,24,16
128,3,4,2,3,3,3,0
128,9,6,22,17,27,27,18
128,6,4,10,9,8,7,8
128,1,2,0,1,0,1,0
128,10,6,24,20,30,30,20
128,5,2,5,7,3,5,0
128,5,4,8,7,6,5,6
128,4,4,6,5,4,4,4
128,3,4,2,3,3,3,0
129,10,4,20,20,20,20,19
129,4,2,4,8,4,4,3
129,10,4,20,20,20,20,19
129,3,4,4,6,6,6,5
129,7,4,14,14,14,14,13
129,4,4,8,8,8,8,7
129,5,6,9,10,15,15,10
129,2,4,1,4,4,4,3
129,4,6,5,8,12,12,8
129,2,6,4,4,6,6,4
129,0,6,0,0,0,0,0
129,2,2,1,4,2,2,1
129,7,4,14,14,14,14,13
129,0,4,0,0,0,0,0
129,3,4,4,6,6,6,5
129,6,4,10,12,12,12,11
129,9,4,14,18,18,18,17
129,2,4,2,4,4,4,3
129,6,2,5,12,6,6,5
129,10,6,18,20,30,30,20
129,5,2,5,10,5,5,4
129,6,4,10,12,12,12,11
129,5,2,5,10,5,5,4
129,3,4,4,6,6,6,5
129,8,2,8,16,8,8,7
129,0,2,0,0,0,0,0
129,5,4,10,10,10,10,9
129,7,6,13,14,21,21,14
129,3,2,3,6,3,3,2
129,6,4,10,12,12,12,11
129,1,4,1,2,2,2,1
129,5,4,10,10,10,10,9
129,5,6,9,10,15,15,10
129,3,4,4,6,6,6,5
129,3,2,3,6,3,3,2
129,5,4,10,10,10,10,9
129,8,4,16,16,16,16,15
129,5,6,9,10,15,15,10
129,0,4,0,0,0,0,0
129,4,6,5,8,12,12,8
129,8,6,14,16,24,24,16
129,8,4,13,16,16,16,15
129,7,2,7,14,7,7,6
129,4,4,5,8,8,8,7
129,5,2,5,10,5,5,4
129,10,2,10,20,10,10,9
129,6,2,6,12,6,6,5
129,8,4,16,16,16,16,15
129,2,4,2,4,4,4,3
129,10,4,20,20,20,20,19
129,2,4,2,4,4,4,3
129,5,2,5,10,5,5,4
129,6,6,11,12,18,18,12
129,6,4,12,12,12,12,11
129,10,2,10,20,10,10,9
129,6,6,14,12,18,18,12
129,9,6,16,18,27,27,18
129,5,4,10,10,10,10,9
129,6,2,6,12,6,6,5
129,2,2,2,4,2,2,1
129,5,4,10,10,10,10,9
129,1,4,1,2,2,2,1
129,5,4,10,10,10,10,9
129,3,6,4,6,9,9,6
129,4,4,5,8,8,8,7
129,5,4,10,10,10,10,9
129,4,4,5,8,8,8,7
129,5,4,10,10,10,10,9
129,3,6,5,6,9,9,6
129,4,6,7,8,12,12,8
129,10,6,18,20,30,30,20
129,10,4,20,20,20,20,19
129,4,2,4,8,4,4,3
129,1,2,1,2,1,1,1
129,5,6,9,10,15,15,10
129,9,2,9,18,9,9,8
129,10,6,18,20,30,30,20
129,1,6,1,2,3,3,2
129,9,4,18,18,18,18,17
129,9,4,18,18,18,18,17
130,2,6,4,2,3,1,1
130,7,2,3,13,5,5,5
130,3,4,6,3,3,3,3
130,2,2,1,2,1,0,1
130,5,4,10,8,8,7,7
130,5,4,10,8,8,7,7
130,8,4,16,15,15,15,15
130,8,4,16,15,15,15,15
130,9,4,18,18,17,17,17
130,5,6,9,8,13,12,8
130,10,4,20,20,20,20,20
130,2,4,4,2,1,1,1
130,4,6,7,5,9,8,5
130,3,6,7,3,5,3,3
130,4,4,8,5,5,5,5
130,2,4,4,2,1,1,1
130,10,6,24,20,30,30,20
130,6,2,6,10,4,4,4
130,3,4,6,3,3,3,3
130,2,2,2,2,1,0,1
130,5,6,12,8,13,12,8
130,4,4,8,5,5,5,5
130,0,4,0,0,0,0,0
130,3,4,5,3,3,3,3
130,6,4,10,10,10,10,10
130,3,2,1,3,2,1,1
130,6,6,7,10,16,16,10
130,10,2,10,20,10,10,10
130,5,2,4,8,3,2,2
130,1,4,0,1,0,1,0
130,5,4,8,8,8,7,7
130,5,4,8,8,8,7,7
130,10,4,20,20,20,20,20
130,4,4,6,5,5,5,5
130,5,6,9,8,13,12,8
130,5,4,6,8,8,7,7
130,5,2,3,8,3,2,2
130,3,4,4,3,3,3,3
130,9,4,18,18,17,17,17
130,2,4,0,2,1,1,1
130,6,2,4,10,4,4,4
130,1,6,0,1,1,0,0
130,10,2,10,20,10,10,10
130,6,4,7,10,10,10,10
130,9,4,18,18,17,17,17
130,7,6,13,13,18,17,13
130,7,4,11,13,12,12,12
130,5,2,3,8,3,2,2
130,4,4,5,5,5,5,5
130,3,6,4,3,5,3,3
130,4,6,7,5,9,8,5
130,3,2,0,3,2,1,1
130,5,4,6,8,8,7,7
130,8,6,14,15,22,22,15
130,1,4,0,1,0,1,0
130,1,2,0,1,1,0,0
130,10,4,20,20,20,20,20
130,5,4,6,8,8,7,7
130,6,4,10,10,10,10,10
130,10,6,18,20,30,30,20
130,4,6,5,5,9,8,5
130,4,2,4,5,2,1,1
130,2,4,0,2,1,1,1
130,9,2,7,18,8,8,8
130,0,6,0,0,0,0,0
130,4,2,2,5,2,1,1
130,5,6,9,8,13,12,8
130,10,4,20,20,20,20,20
130,8,4,13,15,15,15,15
130,8,2,8,15,7,7,6
130,6,2,2,10,4,4,4
130,10,6,18,20,30,30,20
130,6,4,10,10,10,10,10
130,9,6,22,18,26,25,18
130,7,4,11,13,12,12,12
130,5,2,2,8,3,2,2
130,0,4,0,0,0,0,0
130,5,4,6,8,8,7,7
130,0,2,0,0,0,0,0
130,6,6,11,10,16,16,10
131,9,4,11,18,18,18,15
131,9,2,9,18,9,9,5
131,4,6,7,8,12,12,8
131,8,4,13,16,16,16,14
131,9,6,16,18,27,27,18
131,4,6,7,8,12,12,8
131,10,4,16,20,20,20,16
131,5,2,5,10,3,3,2
131,2,2,2,4,0,0,0
131,6,4,10,12,12,12,10
131,2,4,3,4,4,4,4
131,5,4,8,10,10,10,8
131,0,4,0,0,0,0,0
131,6,4,7,12,12,12,10
131,9,4,14,18,18,18,15
131,0,2,0,0,0,0,0
