sub,gamble_number,choice,choice_label,trial,value_A,value_B,prob_A,prob_B,ev_A,ev_B
1,4,1,A,1,4000,3000,0.2,0.25,800,750
1,6,1,A,2,6000,3000,1E-3,2E-3,6,6
1,2,0,B,3,2500,2400,0.33,0.34,825,816.0000000000001
1,3,0,B,4,4000,3000,0.8,1,3200,3000
1,17,0,B,5,-5000,-5,1E-3,1,-5,-5
1,14,0,B,7,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
1,8,0,B,8,-4000,-3000,0.2,0.25,-800,-750
1,7,1,A,9,-4000,-3000,0.8,1,-3200,-3000
1,15,0,B,10,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
1,1,1,A,11,"2500, 2400",2400,".33, .66",1,2409,2400
1,12,0,B,12,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
1,11,0,B,13,4000,3000,0.2,0.25,800,750
1,5,1,A,14,6000,3000,0.45,0.9,2700,2700
1,13,0,B,15,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
1,16,0,B,16,5000,5,1E-3,1,5,5
1,9,1,A,17,-6000,-3000,0.45,0.9,-2700,-2700
1,10,1,A,18,-6000,-3000,1E-3,2E-3,-6,-6
2,7,0,B,1,-4000,-3000,0.8,1,-3200,-3000
2,17,0,B,2,-5000,-5,1E-3,1,-5,-5
2,16,1,A,3,5000,5,1E-3,1,5,5
2,11,0,B,4,4000,3000,0.2,0.25,800,750
2,15,1,A,5,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
2,4,0,B,7,4000,3000,0.2,0.25,800,750
2,9,1,A,8,-6000,-3000,0.45,0.9,-2700,-2700
2,1,0,B,9,"2500, 2400",2400,".33, .66",1,2409,2400
2,13,0,B,10,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
2,2,0,B,11,2500,2400,0.33,0.34,825,816.0000000000001
2,10,0,B,12,-6000,-3000,1E-3,2E-3,-6,-6
2,6,0,B,13,6000,3000,1E-3,2E-3,6,6
2,14,0,B,14,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
2,5,0,B,15,6000,3000,0.45,0.9,2700,2700
2,12,0,B,16,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
2,8,0,B,17,-4000,-3000,0.2,0.25,-800,-750
2,3,0,B,18,4000,3000,0.8,1,3200,3000
3,11,0,B,1,4000,3000,0.2,0.25,800,750
3,8,0,B,2,-4000,-3000,0.2,0.25,-800,-750
3,4,0,B,3,4000,3000,0.2,0.25,800,750
3,7,1,A,4,-4000,-3000,0.8,1,-3200,-3000
3,12,0,B,5,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
3,3,0,B,7,4000,3000,0.8,1,3200,3000
3,14,0,B,8,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
3,6,0,B,9,6000,3000,1E-3,2E-3,6,6
3,16,0,B,10,5000,5,1E-3,1,5,5
3,17,1,A,11,-5000,-5,1E-3,1,-5,-5
3,1,0,B,12,"2500, 2400",2400,".33, .66",1,2409,2400
3,2,0,B,13,2500,2400,0.33,0.34,825,816.0000000000001
3,13,0,B,14,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
3,5,0,B,15,6000,3000,0.45,0.9,2700,2700
3,15,1,A,16,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
3,9,0,B,17,-6000,-3000,0.45,0.9,-2700,-2700
3,10,0,B,18,-6000,-3000,1E-3,2E-3,-6,-6
4,16,1,A,1,5000,5,1E-3,1,5,5
4,7,1,A,2,-4000,-3000,0.8,1,-3200,-3000
4,6,0,B,3,6000,3000,1E-3,2E-3,6,6
4,9,1,A,4,-6000,-3000,0.45,0.9,-2700,-2700
4,12,0,B,5,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
4,10,0,B,7,-6000,-3000,1E-3,2E-3,-6,-6
4,8,0,B,8,-4000,-3000,0.2,0.25,-800,-750
4,5,0,B,9,6000,3000,0.45,0.9,2700,2700
4,15,1,A,10,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
4,2,0,B,11,2500,2400,0.33,0.34,825,816.0000000000001
4,3,0,B,12,4000,3000,0.8,1,3200,3000
4,4,0,B,13,4000,3000,0.2,0.25,800,750
4,14,0,B,14,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
4,11,0,B,15,4000,3000,0.2,0.25,800,750
4,1,0,B,16,"2500, 2400",2400,".33, .66",1,2409,2400
4,17,1,A,17,-5000,-5,1E-3,1,-5,-5
4,13,1,A,18,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
5,13,0,B,1,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
5,4,0,B,2,4000,3000,0.2,0.25,800,750
5,3,0,B,3,4000,3000,0.8,1,3200,3000
5,7,1,A,4,-4000,-3000,0.8,1,-3200,-3000
5,9,1,A,5,-6000,-3000,0.45,0.9,-2700,-2700
5,16,1,A,7,5000,5,1E-3,1,5,5
5,8,1,A,8,-4000,-3000,0.2,0.25,-800,-750
5,14,0,B,9,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
5,1,0,B,10,"2500, 2400",2400,".33, .66",1,2409,2400
5,6,1,A,11,6000,3000,1E-3,2E-3,6,6
5,12,0,B,12,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
5,17,1,A,13,-5000,-5,1E-3,1,-5,-5
5,10,1,A,14,-6000,-3000,1E-3,2E-3,-6,-6
5,5,0,B,15,6000,3000,0.45,0.9,2700,2700
5,2,0,B,16,2500,2400,0.33,0.34,825,816.0000000000001
5,11,0,B,17,4000,3000,0.2,0.25,800,750
5,15,1,A,18,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
6,12,0,B,1,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
6,9,1,A,2,-6000,-3000,0.45,0.9,-2700,-2700
6,7,1,A,3,-4000,-3000,0.8,1,-3200,-3000
6,10,1,A,4,-6000,-3000,1E-3,2E-3,-6,-6
6,6,0,B,5,6000,3000,1E-3,2E-3,6,6
6,8,1,A,7,-4000,-3000,0.2,0.25,-800,-750
6,5,1,A,8,6000,3000,0.45,0.9,2700,2700
6,2,0,B,9,2500,2400,0.33,0.34,825,816.0000000000001
6,17,0,B,10,-5000,-5,1E-3,1,-5,-5
6,11,0,B,11,4000,3000,0.2,0.25,800,750
6,4,0,B,12,4000,3000,0.2,0.25,800,750
6,3,0,B,13,4000,3000,0.8,1,3200,3000
6,14,0,B,14,6000,"4000, 2000",0.25,"0.25, 0.25",1500,1500
6,1,0,B,15,"2500, 2400",2400,".33, .66",1,2409,2400
6,15,1,A,16,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
6,13,0,B,17,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
6,16,0,B,18,5000,5,1E-3,1,5,5
7,4,0,B,1,4000,3000,0.2,0.25,800,750
7,8,1,A,2,-4000,-3000,0.2,0.25,-800,-750
7,12,1,A,3,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
7,9,1,A,4,-6000,-3000,0.45,0.9,-2700,-2700
7,11,0,B,5,4000,3000,0.2,0.25,800,750
7,15,1,A,7,-6000,"-4000, -2000",0.25,"0.25, 0.25",-1500,-1500
7,7,1,A,8,-4000,-3000,0.8,1,-3200,-3000
7,10,0,B,9,-6000,-3000,1E-3,2E-3,-6,-6
7,13,0,B,10,"1000, 2000",1500,"0.5, 0.5",1,1500,1500
7,2,1,A,11,2500,2400,0.33,0.34,825,816.0000000000001
7,6,1,A,12,6000,3000,1E-3,2E-3,6,6
7,1,0,B,13,"2500, 2400",2400,".33, .66",1,2409,2400
7,16,0,B,14,5000,5,1E-3,1,5,5
